Paket,Startzeit,Endzeit,Data,
1,0.00105711994299895,0.00131753660966562,191,
2,0.00205705591471883,0.0023174725813855,239,
3,0.00305686388644233,0.003317280553109,239,
4,0.00407382385768074,0.0043342405243474,191,
5,0.00507478382937165,0.00533520049603832,239,
6,0.00605667180160196,0.00631708846826863,239,
7,0.00705660777332184,0.00731702443998851,191,
8,0.00805654374504172,0.00831696041170839,239,
9,0.0090564797167616,0.00931689638342827,191,
10,0.0100564156884815,0.0103168323551482,239,
11,0.0110743996596909,0.0113348163263576,239,
12,0.0120573116318923,0.0123177282985589,191,
13,0.0130882236027361,0.0133486402694028,239,
14,0.014057183575332,0.0143176002419987,239,
15,0.0150751675465415,0.0153355842132082,191,
16,0.0160740795182903,0.016334496184957,239,
17,0.017056095490517,0.0173165121571837,191,
18,0.0180569274622115,0.0183173441288782,239,
19,0.019074911433421,0.0193353281000877,239,
20,0.0200738234051698,0.0203342400718365,191,
21,0.0210737593768897,0.0213341760435564,239,
22,0.0220557753491164,0.0223161920157831,239,
23,0.0230557113208363,0.023316127987503,191,
24,0.0240776632919335,0.0243380799586002,239,
25,0.0250736312637656,0.0253340479304323,191,
26,0.0260735672354855,0.0263339839021522,239,
27,0.0270564792076868,0.0273168958743535,239,
28,0.0280564151794067,0.0283168318460734,191,
29,0.0291133111495157,0.0293737278161823,239,
30,0.0306823351051406,0.0309427517718073,239,
31,0.0315561910804263,0.0318166077470929,191,
32,0.0325600950520339,0.0328205117187006,239,
33,0.033556063023866,0.0338164796905327,191,
34,0.0345690549952167,0.0348294716618833,239,
35,0.0355559349673058,0.0358163516339724,239,
36,0.0365589429389388,0.0368193596056054,191,
37,0.0375558069107456,0.0378162235774122,239,
38,0.0385667508821541,0.0388271675488208,239,
39,0.0395558068541817,0.0398162235208483,191,
40,0.0405597108257894,0.040820127492456,239,
41,0.0415565747975961,0.0418169914642628,191,
42,0.0425675187690047,0.0428279354356713,239,
43,0.0435564467410359,0.0438168634077025,239,
44,0.0445594547126689,0.0448198713793355,191,
45,0.045556446684472,0.0458168633511387,239,
46,0.0465663666559095,0.0468267833225762,239,
47,0.0475552946279407,0.0478157112946074,191,
48,0.0485581745995773,0.048818591266244,239,
49,0.0495551665713805,0.0498155832380471,191,
50,0.0505671345427601,0.0508275512094267,239,
51,0.0515560625147913,0.0518164791814579,239,
52,0.0525659824862288,0.0528263991528954,1,
53,0.052867934477689,0.0531283511443557,0,
54,0.0531698864691492,0.0534303031358159,7,
55,0.0545365424304975,0.0547969590971642,0,
56,0.155553627573539,0.155814044240206,191,
57,0.156556379545179,0.156816796211846,239,
58,0.157553371516983,0.157813788183649,239,
59,0.158565211488366,0.158825628155032,191,
60,0.159553243460422,0.159813660127089,239,
61,0.160556123432059,0.160816540098726,239,
62,0.161553115403862,0.161813532070529,191,
63,0.162566107375213,0.162826524041879,239,
64,0.163552987347302,0.163813404013969,191,
65,0.164556891318909,0.164817307985576,239,
66,0.165552859290742,0.165813275957408,239,
67,0.166564827262121,0.166825243928788,191,
68,0.167553755234152,0.167814171900819,239,
69,0.168555739205814,0.168816155872481,239,
70,0.169552603177621,0.169813019844288,191,
71,0.17056354714903,0.170823963815696,239,
72,0.171552475121061,0.171812891787728,191,
73,0.172555483092694,0.172815899759361,239,
74,0.173552347064501,0.173812763731167,239,
75,0.17456431503588,0.174824731702547,191,
76,0.17555221900794,0.175812635674607,239,
77,0.176556250979544,0.176816667646211,239,
78,0.177553114951351,0.177813531618018,191,
79,0.17856405892276,0.178824475589426,239,
80,0.179552986894791,0.179813403561458,191,
81,0.181032922852935,0.181293339519602,239,
82,0.182607834808394,0.182868251475061,239,
83,0.183552858781667,0.183813275448334,191,
84,0.184555738753303,0.18481615541997,239,
85,0.185552730725107,0.185813147391773,239,
86,0.186565594696461,0.186826011363128,191,
87,0.187551578668575,0.187811995335242,239,
88,0.188555482640183,0.18881589930685,191,
89,0.189552474611986,0.189812891278653,239,
90,0.190563418583395,0.190823835250061,239,
91,0.191552346555426,0.191812763222093,191,
92,0.192556250527034,0.1928166671937,239,
93,0.193551194498895,0.193811611165561,239,
94,0.194564186470245,0.194824603136912,191,
95,0.195552090442305,0.195812507108972,239,
96,0.196555994413913,0.19681641108058,191,
97,0.197552986385716,0.197813403052383,239,
98,0.198562906357154,0.19882332302382,239,
99,0.200043866315269,0.200304282981936,191,
100,0.201051738286765,0.201312154953431,239,
101,0.202051674258485,0.202312090925151,239,
102,0.203069658229694,0.203330074896361,191,
